Identifier,Class 0,Class 1,Class 2
291,0.6818181818181818,0.0,0.3181818181818182
292,0.6744186046511628,0.0,0.32558139534883723
293,0.6976744186046512,0.0,0.3023255813953488
294,0.75,0.0,0.25
296,0.6904761904761905,0.0,0.30952380952380953
297,0.6046511627906976,0.0,0.3953488372093023
298,0.6585365853658537,0.0,0.34146341463414637
299,0.6511627906976745,0.0,0.3488372093023256
300,0.6666666666666666,0.0,0.3333333333333333
301,0.6585365853658537,0.0,0.34146341463414637
302,0.675,0.0,0.325
303,0.7567567567567568,0.0,0.24324324324324326
304,0.6904761904761905,0.0,0.30952380952380953
305,0.6046511627906976,0.0,0.3953488372093023
306,0.6666666666666666,0.0,0.3333333333333333
307,0.6829268292682927,0.0,0.3170731707317073
308,0.7105263157894737,0.0,0.2894736842105263
309,0.6904761904761905,0.0,0.30952380952380953
310,1.0,0.0,0.0
311,0.6486486486486487,0.0,0.35135135135135137
312,0.6842105263157895,0.0,0.3157894736842105
313,0.6578947368421053,0.0,0.34210526315789475
314,0.6904761904761905,0.0,0.30952380952380953
315,0.6428571428571429,0.0,0.35714285714285715
323,0.8947368421052632,0.0,0.10526315789473684
324,0.7857142857142857,0.0,0.21428571428571427
325,0.748898678414097,0.08370044052863436,0.16740088105726872
326,0.6425531914893617,0.19148936170212766,0.16595744680851063
329,0.7479674796747967,0.0,0.25203252032520324
330,0.7251908396946565,0.03816793893129771,0.2366412213740458
333,0.6804123711340206,0.12371134020618557,0.1958762886597938
334,0.7009803921568627,0.11764705882352941,0.18137254901960784
335,0.6572769953051644,0.14084507042253522,0.20187793427230047
336,0.6666666666666666,0.10256410256410256,0.23076923076923078
337,0.7962962962962963,0.0,0.2037037037037037
342,0.6063829787234043,0.22340425531914893,0.1702127659574468
343,0.6254071661237784,0.2280130293159609,0.1465798045602606
344,0.8382352941176471,0.0,0.16176470588235295
345,0.7127659574468085,0.11170212765957446,0.17553191489361702
346,0.7368421052631579,0.0,0.2631578947368421
347,0.9473684210526315,0.0,0.05263157894736842
348,0.5384615384615384,0.0,0.46153846153846156
350,0.9333333333333333,0.0,0.06666666666666667
351,0.5887096774193549,0.14516129032258066,0.2661290322580645
352,0.6886792452830188,0.018867924528301886,0.29245283018867924
353,0.875,0.0,0.125
354,0.7777777777777778,0.0,0.2222222222222222
355,0.7333333333333333,0.0,0.26666666666666666
356,0.6923076923076923,0.0,0.3076923076923077
357,0.8235294117647058,0.0,0.17647058823529413
358,0.8125,0.0,0.1875
359,0.8666666666666667,0.0,0.13333333333333333
360,0.8823529411764706,0.0,0.11764705882352941
362,0.8421052631578947,0.0,0.15789473684210525
369,0.5836734693877551,0.23673469387755103,0.17959183673469387
372,0.7485029940119761,0.08982035928143713,0.16167664670658682
374,0.76,0.0,0.24
375,0.717948717948718,0.0,0.28205128205128205
376,0.8238636363636364,0.045454545454545456,0.13068181818181818
377,0.7631578947368421,0.0,0.23684210526315788
378,0.8888888888888888,0.0,0.1111111111111111
379,0.6456692913385826,0.14960629921259844,0.2047244094488189
380,0.627831715210356,0.1941747572815534,0.1779935275080906
384,0.6944444444444444,0.09259259259259259,0.21296296296296297
385,0.6945812807881774,0.08866995073891626,0.21674876847290642
386,0.6534296028880866,0.18772563176895307,0.1588447653429603
387,0.6254416961130742,0.21554770318021202,0.15901060070671377
389,0.6941176470588235,0.052941176470588235,0.2529411764705882
390,0.6213592233009708,0.16019417475728157,0.21844660194174756
393,0.7391304347826086,0.008695652173913044,0.25217391304347825
396,0.7407407407407407,0.07407407407407407,0.18518518518518517
397,0.6413043478260869,0.17753623188405798,0.18115942028985507
398,0.7198697068403909,0.14006514657980457,0.14006514657980457
399,1.0,0.0,0.0
400,0.7368421052631579,0.0,0.2631578947368421
401,0.678391959798995,0.10552763819095477,0.21608040201005024
404,0.6030150753768844,0.1708542713567839,0.22613065326633167
408,0.6337209302325582,0.1569767441860465,0.20930232558139536
412,0.6343612334801763,0.14977973568281938,0.21585903083700442
418,0.6578947368421053,0.0,0.34210526315789475
419,0.7289156626506024,0.0,0.2710843373493976
420,0.7272727272727273,0.0,0.2727272727272727
421,0.7391304347826086,0.0,0.2608695652173913
422,0.7391304347826086,0.0,0.2608695652173913
423,0.8,0.0,0.2
424,0.7619047619047619,0.0,0.23809523809523808
425,0.7093596059113301,0.09852216748768473,0.1921182266009852
430,0.782608695652174,0.0,0.21739130434782608
431,0.75,0.0,0.25
432,0.8095238095238095,0.0,0.19047619047619047
434,0.7741935483870968,0.08064516129032258,0.14516129032258066
435,0.8125,0.0625,0.125
436,0.708171206225681,0.14007782101167315,0.1517509727626459
439,0.6346153846153846,0.1346153846153846,0.23076923076923078
442,0.5819672131147541,0.2459016393442623,0.1721311475409836
445,0.6486486486486487,0.02702702702702703,0.32432432432432434
